dep;sexe;jour;hosp;rea;rad;dc;hosp_h;rea_h;rad_h;dc_h;hosp_f;rea_f;rad_f;dc_f
35;0;18/03/2020;7;3;0;0;4;2;0;0;3;1;0;0
36;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
37;0;18/03/2020;4;1;0;0;2;1;0;0;2;0;0;0
38;0;18/03/2020;18;2;0;1;10;1;0;1;8;1;0;0
39;0;18/03/2020;2;1;1;0;1;0;1;0;1;1;0;0
40;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
41;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
42;0;18/03/2020;31;10;3;1;21;9;2;1;10;1;1;0
43;0;18/03/2020;1;1;5;0;1;1;2;0;0;0;3;0
44;0;18/03/2020;18;3;7;1;14;3;3;0;4;0;4;1
45;0;18/03/2020;5;1;0;0;3;1;0;0;2;0;0;0
46;0;18/03/2020;0;0;1;0;0;0;0;0;0;0;1;0
47;0;18/03/2020;10;4;1;0;7;4;1;0;3;0;0;0
48;0;18/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
49;0;18/03/2020;12;1;26;0;6;1;17;0;6;0;9;0
50;0;18/03/2020;7;0;1;0;4;0;0;0;3;0;1;0
51;0;18/03/2020;35;7;6;1;19;4;2;1;16;3;4;0
52;0;18/03/2020;4;0;0;1;2;0;0;0;2;0;0;1
53;0;18/03/2020;4;0;2;0;3;0;1;0;1;0;1;0
54;0;18/03/2020;42;19;1;5;23;13;0;2;17;5;1;3
55;0;18/03/2020;11;3;0;0;6;1;0;0;5;2;0;0
56;0;18/03/2020;39;14;63;7;22;10;28;5;17;4;35;2
57;0;18/03/2020;169;34;11;16;96;26;6;7;73;8;5;9
58;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
59;0;18/03/2020;106;26;16;3;61;19;10;2;44;7;6;1
60;0;18/03/2020;94;22;18;6;54;16;11;3;40;6;7;3
61;0;18/03/2020;4;0;2;0;1;0;1;0;3;0;1;0
62;0;18/03/2020;22;9;16;0;10;6;12;0;12;3;4;0
63;0;18/03/2020;10;2;3;0;7;2;2;0;3;0;1;0
64;0;18/03/2020;5;0;0;0;2;0;0;0;3;0;0;0
65;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
66;0;18/03/2020;9;5;1;0;7;4;0;0;2;1;1;0
67;0;18/03/2020;210;58;4;15;108;37;3;7;99;21;1;8
68;0;18/03/2020;371;77;116;74;203;50;67;38;164;27;47;35
69;0;18/03/2020;36;8;10;0;14;1;4;0;12;5;6;0
70;0;18/03/2020;14;4;2;0;7;2;0;0;7;2;2;0
71;0;18/03/2020;35;0;4;5;13;0;2;3;22;0;2;2
72;0;18/03/2020;9;0;1;0;3;0;0;0;6;0;1;0
73;0;18/03/2020;8;0;3;0;2;0;2;0;6;0;1;0
74;0;18/03/2020;31;8;43;5;15;5;24;2;9;0;18;3
75;0;18/03/2020;359;105;40;14;217;70;22;10;139;35;18;4
76;0;18/03/2020;30;3;3;3;17;2;1;3;13;1;2;0
77;0;18/03/2020;25;13;10;0;15;12;6;0;10;1;4;0
78;0;18/03/2020;69;18;5;5;34;11;2;4;35;7;3;1
79;0;18/03/2020;2;1;2;0;1;1;1;0;1;0;1;0
80;0;18/03/2020;50;20;9;1;27;12;5;0;22;8;4;1
81;0;18/03/2020;2;0;2;0;1;0;2;0;1;0;0;0
82;0;18/03/2020;1;0;0;1;0;0;0;1;1;0;0;0
83;0;18/03/2020;23;7;78;0;12;6;39;0;11;1;39;0
84;0;18/03/2020;9;3;7;1;4;2;6;0;5;1;1;1
85;0;18/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
86;0;18/03/2020;7;0;0;1;1;0;0;0;6;0;0;1
87;0;18/03/2020;2;0;2;0;1;0;0;0;1;0;2;0
88;0;18/03/2020;32;6;7;8;19;5;2;4;13;1;5;4
89;0;18/03/2020;6;0;1;0;5;0;1;0;1;0;0;0
90;0;18/03/2020;25;9;0;0;13;6;0;0;12;3;0;0
91;0;18/03/2020;51;16;0;1;35;11;0;0;16;5;0;1
92;0;18/03/2020;149;48;22;4;92;35;12;4;55;13;10;0
93;0;18/03/2020;92;33;15;5;59;21;9;3;33;12;6;2
94;0;18/03/2020;122;32;16;5;76;24;15;5;44;8;1;0
95;0;18/03/2020;90;29;21;2;64;23;8;2;25;6;12;0
971;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
972;0;18/03/2020;16;5;0;1;9;3;0;0;7;2;0;1
973;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
974;0;18/03/2020;2;2;0;0;2;2;0;0;0;0;0;0
976;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
1;0;19/03/2020;2;0;1;0;1;0;1;0;1;0;0;0
2;0;19/03/2020;43;15;33;19;23;7;16;13;20;8;17;6
3;0;19/03/2020;0;0;7;0;0;0;2;0;0;0;5;0
4;0;19/03/2020;3;1;3;0;3;1;1;0;0;0;2;0
5;0;19/03/2020;10;1;10;0;3;0;8;0;7;1;2;0
6;0;19/03/2020;33;5;48;2;21;4;19;0;11;0;29;2
7;0;19/03/2020;11;2;0;0;6;1;0;0;3;0;0;0
8;0;19/03/2020;0;0;1;0;0;0;1;0;0;0;0;0
9;0;19/03/2020;1;1;2;0;0;0;1;0;1;1;1;0
10;0;19/03/2020;6;1;0;0;5;0;0;0;1;1;0;0
11;0;19/03/2020;18;11;8;6;12;7;2;3;6;4;6;3
12;0;19/03/2020;9;2;2;1;3;1;0;1;6;1;2;0
13;0;19/03/2020;128;20;97;4;63;11;54;2;65;9;42;2
14;0;19/03/2020;4;1;1;0;3;0;0;0;1;1;1;0
15;0;19/03/2020;3;1;0;0;3;1;0;0;0;0;0;0
16;0;19/03/2020;0;0;2;0;0;0;1;0;0;0;1;0
17;0;19/03/2020;7;2;2;0;7;2;2;0;0;0;0;0
18;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
19;0;19/03/2020;1;0;0;0;1;0;0;0;0;0;0;0
21;0;19/03/2020;53;19;28;2;30;13;9;0;23;6;18;2
22;0;19/03/2020;2;1;3;0;2;1;1;0;0;0;2;0
23;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
24;0;19/03/2020;2;1;1;0;1;1;1;0;1;0;0;0
25;0;19/03/2020;33;11;10;2;22;10;2;1;11;1;8;1
26;0;19/03/2020;32;8;2;0;18;5;1;0;14;3;1;0
27;0;19/03/2020;1;1;0;1;1;1;0;1;0;0;0;0
28;0;19/03/2020;11;4;0;1;5;2;0;1;6;2;0;0
29;0;19/03/2020;17;5;6;0;9;4;3;0;8;1;3;0
2A;0;19/03/2020;1;0;1;1;1;0;1;0;0;0;0;1
2B;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
30;0;19/03/2020;4;1;7;1;4;1;2;1;0;0;5;0
31;0;19/03/2020;26;6;13;1;18;5;5;0;8;1;8;1
32;0;19/03/2020;3;3;0;0;3;3;0;0;0;0;0;0
33;0;19/03/2020;7;5;7;2;5;4;3;1;2;1;4;1
34;0;19/03/2020;49;18;21;4;26;11;11;2;23;7;10;2
35;0;19/03/2020;16;8;15;0;12;6;6;0;4;2;9;0
36;0;19/03/2020;3;0;0;0;2;0;0;0;1;0;0;0
37;0;19/03/2020;6;3;0;0;4;2;0;0;2;1;0;0
38;0;19/03/2020;22;2;3;1;12;1;1;1;10;1;2;0
39;0;19/03/2020;2;1;1;0;1;0;1;0;1;1;0;0
40;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
41;0;19/03/2020;2;0;1;0;0;0;1;0;2;0;0;0
42;0;19/03/2020;48;18;8;3;33;16;6;3;15;2;2;0
43;0;19/03/2020;1;1;5;0;1;1;2;0;0;0;3;0
44;0;19/03/2020;24;6;9;1;17;4;5;0;7;2;4;1
45;0;19/03/2020;9;3;0;0;6;3;0;0;3;0;0;0
46;0;19/03/2020;0;0;1;0;0;0;0;0;0;0;1;0
47;0;19/03/2020;10;1;1;0;7;1;1;0;3;0;0;0
48;0;19/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
49;0;19/03/2020;16;3;28;0;7;2;17;0;9;1;11;0
50;0;19/03/2020;6;0;2;0;3;0;1;0;3;0;1;0
51;0;19/03/2020;39;7;14;2;21;4;6;1;18;3;8;1
52;0;19/03/2020;4;0;0;1;2;0;0;0;2;0;0;1
53;0;19/03/2020;5;1;3;0;4;1;1;0;1;0;2;0
54;0;19/03/2020;54;23;1;6;31;16;0;2;20;6;1;4
55;0;19/03/2020;35;3;4;0;17;0;1;0;18;3;3;0
56;0;19/03/2020;42;12;53;9;26;9;22;5;16;3;31;4
57;0;19/03/2020;194;46;15;19;109;36;8;8;84;10;7;11
58;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
59;0;19/03/2020;138;35;36;5;83;27;23;3;55;8;13;2
60;0;19/03/2020;109;21;23;14;59;15;15;9;50;6;8;5
61;0;19/03/2020;2;0;3;0;1;0;1;0;1;0;2;0
62;0;19/03/2020;30;11;25;0;18;8;15;0;12;3;10;0
63;0;19/03/2020;9;1;4;0;7;1;2;0;2;0;2;0
64;0;19/03/2020;9;0;1;0;5;0;0;0;4;0;1;0
65;0;19/03/2020;2;1;0;0;2;1;0;0;0;0;0;0
66;0;19/03/2020;19;11;3;3;9;7;2;1;10;4;1;2
67;0;19/03/2020;302;82;13;18;159;59;8;9;137;23;5;9
68;0;19/03/2020;437;73;131;91;241;49;75;47;192;24;54;43
69;0;19/03/2020;210;33;48;12;35;6;6;0;24;5;11;1
70;0;19/03/2020;14;3;3;0;7;1;0;0;7;2;3;0
71;0;19/03/2020;48;3;7;5;19;3;2;3;29;0;5;2
72;0;19/03/2020;8;0;5;0;2;0;2;0;6;0;3;0
73;0;19/03/2020;10;2;5;0;4;2;2;0;6;0;3;0
74;0;19/03/2020;37;11;49;6;21;8;27;2;10;0;20;4
75;0;19/03/2020;453;122;62;22;279;85;31;16;170;37;30;6
76;0;19/03/2020;33;4;3;4;20;3;1;4;13;1;2;0
77;0;19/03/2020;48;13;15;0;31;10;7;0;17;3;8;0
78;0;19/03/2020;92;20;7;6;50;13;2;5;42;7;5;1
79;0;19/03/2020;3;1;3;0;1;1;1;0;2;0;2;0
80;0;19/03/2020;74;23;12;2;38;15;7;1;35;8;5;1
81;0;19/03/2020;5;1;2;0;2;0;2;0;3;1;0;0
82;0;19/03/2020;1;0;0;1;0;0;0;1;1;0;0;0
83;0;19/03/2020;27;13;86;2;20;10;41;1;7;3;45;1
84;0;19/03/2020;12;4;9;1;6;2;6;0;6;2;3;1
85;0;19/03/2020;5;1;5;0;2;0;2;0;3;1;3;0
86;0;19/03/2020;7;0;0;1;1;0;0;0;6;0;0;1
87;0;19/03/2020;6;1;2;0;3;1;0;0;3;0;2;0
88;0;19/03/2020;38;6;8;11;21;4;3;7;17;2;5;4
89;0;19/03/2020;5;1;1;2;4;1;1;1;1;0;0;1
90;0;19/03/2020;39;9;0;3;24;8;0;1;15;1;0;2
91;0;19/03/2020;82;22;4;1;53;15;2;0;29;7;2;1
92;0;19/03/2020;206;54;31;7;116;42;16;6;89;12;15;1
93;0;19/03/2020;143;45;21;5;82;24;12;3;59;20;9;2
94;0;19/03/2020;182;47;41;10;108;35;22;8;72;12;19;2
95;0;19/03/2020;150;37;32;5;98;30;18;5;51;7;14;0
971;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
972;0;19/03/2020;17;5;0;1;9;3;0;0;8;2;0;1
973;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
974;0;19/03/2020;2;2;0;0;2;2;0;0;0;0;0;0
976;0;19/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
1;0;20/03/2020;2;0;1;0;1;0;1;0;1;0;0;0
2;0;20/03/2020;52;19;40;24;30;10;18;16;22;9;22;8
3;0;20/03/2020;1;0;10;0;1;0;4;0;0;0;6;0
4;0;20/03/2020;3;1;3;0;3;1;1;0;0;0;2;0
5;0;20/03/2020;13;1;10;0;5;0;8;0;8;1;2;0
6;0;20/03/2020;43;7;61;4;25;6;26;1;16;0;34;3
7;0;20/03/2020;15;3;3;1;8;2;0;1;5;0;3;0
8;0;20/03/2020;1;1;1;0;0;0;1;0;1;1;0;0
9;0;20/03/2020;2;1;2;0;1;0;1;0;1;1;1;0
10;0;20/03/2020;12;2;0;0;9;1;0;0;3;1;0;0
11;0;20/03/2020;26;11;13;8;20;8;3;5;6;3;10;3
12;0;20/03/2020;12;2;3;1;3;1;1;1;9;1;2;0
13;0;20/03/2020;174;26;108;4;83;16;58;2;90;10;49;2
14;0;20/03/2020;4;1;3;1;2;0;2;1;2;1;1;0
15;0;20/03/2020;4;1;0;0;3;1;0;0;1;0;0;0
16;0;20/03/2020;1;0;2;0;1;0;1;0;0;0;1;0
17;0;20/03/2020;9;3;2;0;8;3;2;0;1;0;0;0
18;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
19;0;20/03/2020;1;0;0;0;1;0;0;0;0;0;0;0
21;0;20/03/2020;82;31;37;3;41;20;14;1;41;11;22;2
22;0;20/03/2020;5;0;3;1;2;0;1;1;3;0;2;0
23;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
24;0;20/03/2020;3;3;2;0;3;3;1;0;0;0;1;0
25;0;20/03/2020;43;15;13;4;29;14;4;3;14;1;9;1
26;0;20/03/2020;38;9;2;2;22;6;1;1;16;3;1;1
27;0;20/03/2020;4;1;0;1;4;1;0;1;0;0;0;0
28;0;20/03/2020;12;2;0;1;5;1;0;1;7;1;0;0
29;0;20/03/2020;20;4;6;1;9;3;3;1;11;1;3;0
2A;0;20/03/2020;60;14;10;3;35;9;7;1;25;5;3;2
2B;0;20/03/2020;6;0;23;0;3;0;11;0;3;0;12;0
30;0;20/03/2020;8;1;7;1;7;1;2;1;1;0;5;0
31;0;20/03/2020;35;10;16;2;26;9;6;1;9;1;10;1
32;0;20/03/2020;3;3;0;0;3;3;0;0;0;0;0;0
33;0;20/03/2020;10;5;12;2;5;4;7;1;5;1;5;1
34;0;20/03/2020;61;21;24;4;30;12;11;1;30;9;13;3
35;0;20/03/2020;20;9;17;1;16;7;7;1;4;2;10;0
36;0;20/03/2020;4;1;0;0;3;1;0;0;1;0;0;0
37;0;20/03/2020;12;5;0;1;8;4;0;1;4;1;0;0
38;0;20/03/2020;27;2;10;1;13;1;5;1;14;1;5;0
39;0;20/03/2020;6;1;2;0;4;0;2;0;2;1;0;0
40;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
41;0;20/03/2020;4;0;0;0;1;0;0;0;3;0;0;0
42;0;20/03/2020;63;17;9;4;45;15;6;3;18;2;3;1
43;0;20/03/2020;2;2;6;0;2;2;2;0;0;0;4;0
44;0;20/03/2020;30;10;11;1;17;7;7;0;13;3;4;1
45;0;20/03/2020;26;5;2;0;15;4;1;0;11;1;1;0
46;0;20/03/2020;0;0;2;0;0;0;1;0;0;0;1;0
47;0;20/03/2020;10;1;1;0;7;1;1;0;3;0;0;0
48;0;20/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
49;0;20/03/2020;22;4;38;0;13;3;20;0;9;1;18;0
50;0;20/03/2020;12;4;2;0;5;1;1;0;7;3;1;0
51;0;20/03/2020;54;11;26;2;32;6;10;1;22;5;15;1
52;0;20/03/2020;8;0;5;4;2;0;1;2;6;0;4;2
53;0;20/03/2020;7;2;3;0;6;2;1;0;1;0;2;0
54;0;20/03/2020;65;26;2;7;38;18;0;3;25;7;2;4
55;0;20/03/2020;46;5;6;0;21;2;2;0;25;3;4;0
56;0;20/03/2020;49;12;29;9;28;9;14;5;21;3;15;4
57;0;20/03/2020;257;61;24;23;139;46;10;8;116;15;13;15
58;0;20/03/2020;1;1;0;0;1;1;0;0;0;0;0;0
59;0;20/03/2020;112;39;35;5;65;28;24;1;47;11;11;4
60;0;20/03/2020;123;28;30;18;67;20;18;12;56;8;12;6
61;0;20/03/2020;3;1;4;0;2;1;1;0;1;0;3;0
62;0;20/03/2020;50;20;35;1;30;14;21;0;20;6;14;1
63;0;20/03/2020;4;1;9;0;4;1;5;0;0;0;4;0
64;0;20/03/2020;8;0;2;1;5;0;0;1;3;0;2;0
65;0;20/03/2020;2;1;0;0;2;1;0;0;0;0;0;0
66;0;20/03/2020;26;15;3;4;13;9;2;1;13;6;1;3
67;0;20/03/2020;366;92;42;28;195;68;19;15;168;24;23;13
68;0;20/03/2020;509;91;170;105;288;64;93;55;212;27;74;49
69;0;20/03/2020;236;41;68;19;69;15;13;6;46;7;22;6
70;0;20/03/2020;26;6;5;0;14;2;1;0;12;4;4;0
71;0;20/03/2020;53;5;10;8;23;3;4;4;30;2;6;4
72;0;20/03/2020;8;0;5;0;2;0;2;0;6;0;3;0
73;0;20/03/2020;17;2;8;0;9;2;3;0;7;0;5;0
74;0;20/03/2020;54;9;53;6;25;6;30;2;15;0;20;4
75;0;20/03/2020;575;145;98;30;341;102;53;21;226;42;44;9
76;0;20/03/2020;48;6;5;5;30;5;3;5;18;1;2;0
77;0;20/03/2020;79;31;21;2;53;26;11;1;26;5;10;1
78;0;20/03/2020;136;33;16;12;73;21;7;6;63;12;9;5
79;0;20/03/2020;5;1;8;0;2;1;3;0;3;0;5;0
80;0;20/03/2020;95;30;16;3;45;17;10;2;45;12;6;1
81;0;20/03/2020;6;1;3;0;1;0;3;0;5;1;0;0
82;0;20/03/2020;1;0;0;1;0;0;0;1;1;0;0;0
83;0;20/03/2020;35;17;88;2;23;13;42;1;12;4;46;1
84;0;20/03/2020;13;3;10;1;7;1;7;0;6;2;3;1
85;0;20/03/2020;6;1;5;0;3;0;2;0;3;1;3;0
86;0;20/03/2020;11;0;0;1;2;0;0;0;9;0;0;1
87;0;20/03/2020;7;2;2;0;3;1;0;0;4;1;2;0
88;0;20/03/2020;46;5;8;14;24;4;3;9;22;1;5;5
89;0;20/03/2020;10;3;1;2;7;2;1;1;3;1;0;1
90;0;20/03/2020;49;9;0;5;30;7;0;2;19;2;0;3
91;0;20/03/2020;122;28;7;3;75;20;4;2;46;8;3;1
92;0;20/03/2020;254;74;50;11;153;59;20;9;100;15;29;2
93;0;20/03/2020;201;62;35;19;118;38;20;9;80;22;15;9
94;0;20/03/2020;226;60;67;12;133;45;35;9;90;14;32;3
95;0;20/03/2020;192;51;56;10;120;39;31;9;71;12;25;1
971;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
972;0;20/03/2020;19;5;0;1;10;3;0;0;9;2;0;1
973;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
974;0;20/03/2020;2;2;0;0;2;2;0;0;0;0;0;0
976;0;20/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
1;0;21/03/2020;4;0;1;0;1;0;1;0;3;0;0;0
2;0;21/03/2020;61;20;49;25;31;9;20;17;30;11;29;8
3;0;21/03/2020;5;0;10;0;3;0;4;0;2;0;6;0
4;0;21/03/2020;4;1;3;0;3;1;1;0;1;0;2;0
5;0;21/03/2020;13;1;10;0;5;0;8;0;8;1;2;0
6;0;21/03/2020;46;7;61;6;26;6;25;2;18;0;35;4
7;0;21/03/2020;15;3;3;1;9;2;0;1;3;0;3;0
8;0;21/03/2020;3;1;1;0;2;0;1;0;1;1;0;0
9;0;21/03/2020;2;1;3;0;1;0;2;0;1;1;1;0
10;0;21/03/2020;12;2;0;0;9;1;0;0;3;1;0;0
11;0;21/03/2020;26;9;13;9;20;7;3;6;6;2;10;3
12;0;21/03/2020;11;2;4;1;3;1;2;1;8;1;2;0
13;0;21/03/2020;203;33;128;4;92;21;69;2;103;12;58;2
14;0;21/03/2020;6;3;3;1;5;2;2;1;1;1;1;0
15;0;21/03/2020;5;1;0;0;3;1;0;0;2;0;0;0
16;0;21/03/2020;3;1;2;0;2;1;1;0;1;0;1;0
17;0;21/03/2020;11;4;2;0;9;4;2;0;2;0;0;0
18;0;21/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
19;0;21/03/2020;1;0;0;0;1;0;0;0;0;0;0;0
21;0;21/03/2020;79;30;45;3;41;20;14;1;38;10;30;2
22;0;21/03/2020;7;1;3;1;2;0;1;1;4;0;2;0
23;0;21/03/2020;1;0;0;0;1;0;0;0;0;0;0;0
24;0;21/03/2020;4;3;2;0;3;3;1;0;1;0;1;0
25;0;21/03/2020;48;21;19;6;34;19;8;4;14;2;11;2
26;0;21/03/2020;43;9;2;2;24;6;1;1;19;3;1;1
27;0;21/03/2020;7;3;0;0;5;1;0;0;2;2;0;0
28;0;21/03/2020;13;2;1;1;6;1;0;1;7;1;1;0
29;0;21/03/2020;20;2;6;1;9;2;3;1;11;0;3;0
2A;0;21/03/2020;62;14;12;4;36;10;7;1;26;4;5;3
2B;0;21/03/2020;6;0;23;0;3;0;11;0;3;0;12;0
30;0;21/03/2020;7;1;11;1;6;1;6;1;1;0;5;0
31;0;21/03/2020;51;14;17;2;41;13;8;1;10;1;9;1
32;0;21/03/2020;4;3;0;0;4;3;0;0;0;0;0;0
33;0;21/03/2020;39;15;12;2;24;11;7;1;15;4;5;1
34;0;21/03/2020;65;22;33;4;35;12;16;1;30;10;17;3
35;0;21/03/2020;20;10;18;1;16;8;8;1;4;2;10;0
36;0;21/03/2020;5;2;0;0;4;2;0;0;1;0;0;0
37;0;21/03/2020;12;4;1;1;8;4;0;1;4;0;1;0
38;0;21/03/2020;30;2;13;1;15;1;7;1;15;1;6;0
39;0;21/03/2020;7;1;2;0;4;0;2;0;3;1;0;0
40;0;21/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
41;0;21/03/2020;4;0;0;0;1;0;0;0;3;0;0;0
42;0;21/03/2020;71;18;12;6;50;16;7;4;21;2;5;2
43;0;21/03/2020;4;2;6;0;2;2;2;0;2;0;4;0
44;0;21/03/2020;38;11;12;1;23;8;7;0;15;3;5;1
45;0;21/03/2020;30;6;3;0;14;5;2;0;16;1;1;0
46;0;21/03/2020;1;0;5;0;1;0;3;0;0;0;2;0
47;0;21/03/2020;13;1;1;0;8;1;1;0;5;0;0;0
48;0;21/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
49;0;21/03/2020;22;6;35;2;12;4;20;2;9;1;15;0
50;0;21/03/2020;15;4;2;0;7;1;1;0;8;3;1;0
51;0;21/03/2020;67;16;27;2;40;9;11;1;27;7;16;1
52;0;21/03/2020;9;0;5;4;3;0;1;2;6;0;4;2
53;0;21/03/2020;7;2;3;0;6;2;1;0;1;0;2;0
54;0;21/03/2020;76;35;2;9;46;24;0;5;28;10;2;4
55;0;21/03/2020;60;6;7;1;29;3;3;0;31;3;4;1
56;0;21/03/2020;62;11;28;12;34;8;12;7;28;3;16;5
57;0;21/03/2020;286;64;34;25;153;48;17;8;130;16;16;17
58;0;21/03/2020;1;1;0;0;1;1;0;0;0;0;0;0
59;0;21/03/2020;79;43;17;5;53;33;9;1;26;10;8;4
60;0;21/03/2020;138;28;43;18;74;19;24;12;64;9;19;6
61;0;21/03/2020;4;1;3;0;2;1;1;0;2;0;2;0
62;0;21/03/2020;44;18;27;1;31;16;17;0;13;2;10;1
63;0;21/03/2020;4;1;10;0;3;1;6;0;1;0;4;0
64;0;21/03/2020;10;1;2;1;6;1;0;1;4;0;2;0
65;0;21/03/2020;5;1;0;0;4;1;0;0;1;0;0;0
66;0;21/03/2020;25;15;3;5;13;10;2;1;12;5;1;4
67;0;21/03/2020;420;108;51;31;233;79;23;17;177;28;28;14
68;0;21/03/2020;517;94;196;121;287;67;105;66;222;27;90;55
69;0;21/03/2020;272;41;71;21;89;15;13;8;63;6;25;6
70;0;21/03/2020;26;6;5;0;14;2;1;0;12;4;4;0
71;0;21/03/2020;50;6;14;10;20;4;6;6;30;2;8;4
72;0;21/03/2020;9;0;5;0;3;0;2;0;6;0;3;0
73;0;21/03/2020;18;2;8;0;9;2;3;0;9;0;5;0
74;0;21/03/2020;54;9;56;7;24;6;34;3;16;0;20;4
75;0;21/03/2020;649;165;122;36;386;118;66;27;253;47;55;9
76;0;21/03/2020;60;10;6;5;39;7;4;5;21;3;2;0
77;0;21/03/2020;89;36;21;3;59;29;11;2;30;7;10;1
78;0;21/03/2020;174;39;30;14;93;25;14;7;79;14;16;6
79;0;21/03/2020;5;1;8;0;2;1;3;0;3;0;5;0
80;0;21/03/2020;102;35;21;7;55;21;10;3;45;14;11;4
81;0;21/03/2020;8;1;3;1;1;0;3;1;7;1;0;0
82;0;21/03/2020;3;1;0;1;2;1;0;1;1;0;0;0
83;0;21/03/2020;40;19;98;2;25;14;44;1;15;5;54;1
84;0;21/03/2020;20;5;10;1;8;2;7;0;12;3;3;1
85;0;21/03/2020;4;2;7;0;3;1;2;0;1;1;5;0
86;0;21/03/2020;12;0;1;1;3;0;0;0;9;0;1;1
87;0;21/03/2020;8;2;2;1;4;1;0;0;4;1;2;1
88;0;21/03/2020;55;6;8;16;29;5;3;10;25;1;5;6
89;0;21/03/2020;11;3;1;2;7;2;1;1;4;1;0;1
90;0;21/03/2020;61;11;2;6;34;9;1;2;27;2;1;4
91;0;21/03/2020;151;35;8;5;90;23;5;4;60;12;3;1
92;0;21/03/2020;298;81;71;17;172;63;33;12;122;18;37;5
